customer_id,first_name,last_name,email,phone,registration_date,loyalty_points,status
CUST9957,David,Johnson,user5242@example.com,+1-555-945-7765,2024-03-31T15:48:36.275833,626,inactive
CUST9524,John,Jones,user646@example.com,+1-555-433-4655,2024-11-16T15:48:36.275841,2604,active
CUST5782,Robert,Smith,user8598@example.com,+1-555-850-4665,2024-11-04T15:48:36.275845,9090,active
CUST7638,Jane,Williams,user6399@example.com,+1-555-297-6325,2025-09-22T15:48:36.275849,4531,inactive
CUST8639,John,Jones,user8893@example.com,+1-555-385-1678,2025-01-21T15:48:36.275852,7771,active
CUST8512,Lisa,Miller,user8476@example.com,+1-555-120-4543,2026-01-22T15:48:36.275856,1135,inactive
CUST1917,Michael,Miller,user7589@example.com,+1-555-161-6486,2025-12-03T15:48:36.275859,718,inactive
CUST8084,Jane,Garcia,user3694@example.com,+1-555-857-4949,2025-04-16T15:48:36.275862,4929,suspended
CUST4758,Michael,Smith,user6616@example.com,+1-555-403-3114,2024-05-20T15:48:36.275865,1619,suspended
CUST3162,Lisa,Garcia,user5086@example.com,+1-555-111-1586,2024-08-06T15:48:36.275869,7810,active
CUST8001,Lisa,Garcia,user5279@example.com,+1-555-330-7190,2025-11-07T15:48:36.275872,7714,suspended
CUST6702,John,Johnson,user6778@example.com,+1-555-292-3874,2025-02-18T15:48:36.275875,3322,active
CUST3464,Michael,Garcia,user7242@example.com,+1-555-770-8707,2024-08-10T15:48:36.275879,9284,inactive
CUST6846,Emily,Davis,user1883@example.com,+1-555-295-6945,2025-11-01T15:48:36.275882,3917,suspended
CUST1882,Emily,Smith,user9542@example.com,+1-555-107-9706,2025-01-17T15:48:36.275885,1865,inactive
CUST1036,John,Johnson,user3274@example.com,+1-555-716-7853,2024-12-04T15:48:36.275888,9290,inactive
CUST7044,Emily,Smith,user4442@example.com,+1-555-808-2476,2024-04-10T15:48:36.275891,11,inactive
CUST3390,Lisa,Miller,user1519@example.com,+1-555-519-9653,2024-03-14T15:48:36.275894,3517,suspended
CUST6737,John,Garcia,user4655@example.com,+1-555-595-5150,2025-06-17T15:48:36.275898,6020,active
CUST2862,Robert,Davis,user9623@example.com,+1-555-702-2905,2025-03-17T15:48:36.275901,4874,suspended
CUST7150,Sarah,Smith,user9722@example.com,+1-555-568-8510,2025-01-15T15:48:36.275904,5317,active
CUST9400,Jane,Brown,user6539@example.com,+1-555-529-5343,2024-04-09T15:48:36.275907,4926,suspended
CUST1696,Sarah,Davis,user5288@example.com,+1-555-539-1879,2025-05-29T15:48:36.275910,5038,suspended
CUST2427,Robert,Brown,user9363@example.com,+1-555-221-3179,2025-03-17T15:48:36.275913,4128,inactive
CUST1258,David,Smith,user8045@example.com,+1-555-222-8423,2025-07-18T15:48:36.275916,9043,suspended
CUST4602,Lisa,Miller,user4724@example.com,+1-555-703-8298,2026-01-17T15:48:36.275919,1413,inactive
CUST9621,Emily,Garcia,user5276@example.com,+1-555-804-6346,2025-08-08T15:48:36.275922,7175,inactive
CUST5717,Michael,Smith,user9155@example.com,+1-555-539-8428,2024-05-11T15:48:36.275925,9330,inactive
CUST1764,John,Johnson,user8175@example.com,+1-555-241-5160,2025-04-01T15:48:36.275929,4911,active
CUST1686,Sarah,Johnson,user2795@example.com,+1-555-335-7743,2025-07-28T15:48:36.275932,7585,active
CUST1805,Sarah,Williams,user6133@example.com,+1-555-242-6929,2024-05-26T15:48:36.275935,5959,inactive
CUST5186,Emily,Jones,user5499@example.com,+1-555-997-8046,2025-09-17T15:48:36.275939,2138,active
CUST3569,Emily,Garcia,user5660@example.com,+1-555-318-6663,2024-10-21T15:48:36.275942,264,inactive
CUST2735,Jane,Garcia,user1379@example.com,+1-555-998-4153,2024-05-31T15:48:36.275945,5932,suspended
CUST2364,Emily,Miller,user9637@example.com,+1-555-877-1109,2024-07-10T15:48:36.275948,3798,active
CUST1122,David,Smith,user2402@example.com,+1-555-363-3989,2024-05-19T15:48:36.275951,4714,suspended
CUST9430,Michael,Jones,user265@example.com,+1-555-572-9189,2024-05-02T15:48:36.275954,2662,suspended
